"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.443348083E0,1.081388116E0,8.566501737E-2,-5.294159055E-1
3.453292083E0,1.191133499E0,4.709514678E-1,-6.341623068E-1
3.463237083E0,1.215182066E0,8.940081000E-1,-7.390186191E-1
3.473182083E0,1.284843087E0,1.103956580E0,-8.256296515E-1
3.483126083E0,1.361153603E0,1.114034772E0,-9.455451965E-1
3.493071083E0,1.422096014E0,9.903692603E-1,-1.090646029E0
3.503016083E0,1.454533458E0,8.094736338E-1,-1.215566635E0
3.512961083E0,1.436773896E0,5.871667862E-1,-1.267776847E0
3.522905083E0,1.335680842E0,3.001667857E-1,-1.216454625E0
3.532850083E0,1.018861294E0,4.599469900E-2,-1.025779486E0
3.542795083E0,5.317461491E-1,-1.354842633E-1,-7.355235219E-1
3.552740083E0,1.889094710E-5,-1.290564537E-1,-5.410462022E-1
3.562684083E0,-5.634959936E-1,5.143792927E-2,-4.905652106E-1
3.572629083E0,-1.041642070E0,1.929330081E-1,-4.530489743E-1
3.582574083E0,-1.484563351E0,3.363924623E-1,-3.495649993E-1
3.592518083E0,-1.801053405E0,3.729454279E-1,-3.089818954E-1
3.602463083E0,-2.005325317E0,3.075917661E-1,-2.764562368E-1
3.612408083E0,-2.169079542E0,1.724736392E-1,-1.124028265E-1
3.622353083E0,-2.132548809E0,-1.988375187E-1,-9.681450203E-3
3.632297083E0,-1.730486751E0,-6.279523373E-1,-7.637898624E-2
3.642242083E0,-1.369820595E0,-5.512642264E-1,-9.891301394E-2
3.652187083E0,-1.147502303E0,-2.698658109E-1,1.348863542E-2
3.662131083E0,-9.385421872E-1,-1.200892404E-1,2.035792470E-1
3.672076083E0,-6.629236341E-1,-5.096077174E-2,3.596226275E-1
3.682021083E0,-2.641535401E-1,1.405183524E-1,4.440478086E-1
3.691966083E0,1.236104295E-1,4.510719776E-1,5.524347425E-1
3.701910083E0,4.326688051E-1,7.270582914E-1,6.562150121E-1
3.711855083E0,5.882887244E-1,7.683988214E-1,6.889516115E-1
